物性,機能,concern_content,location,mechanism,affected_parameters,affected_function
材質(C/Ti),部材バルク抵抗の低減,酸化皮膜の生成・成長（酸化チタン層の厚膜化）,3. セパレータ ＞ 基材内部,セル動作下の高温・高湿・強酸性雰囲気、およびセル電位の繰返しによりTitanium基材表面で酸化反応が進行し、TiO2等の絶縁性酸化皮膜が厚く生成される。酸化皮膜の成長により、部材表面から内部への電子移動が阻害される。,バルク抵抗値（Ωcm）が増大,セル部材の通電機能、バルク抵抗の低減
材質(C/Ti),部材バルク抵抗の低減,炭素材料のミクロ構造変化（粒界での亀裂・空孔発生）,3. セパレータ ＞ 基材内部,高電位・高温・酸化環境下で炭素が電気化学的に腐食・消失し、粒界や結晶境界に細孔・マイクロクラックが発生。伝導経路の連続性が失われ、電子移動効率が低下する。,電気伝導率（S/cm）の低下、体積抵抗増大,セル部材の通電機能、バルク抵抗の低減
材質(C/Ti),触媒担体腐食の抑制,カーボン担体の腐食孔・構造消失（ボイド形成、空隙拡大、骨格崩壊）,1. セル内部・微細構造層 ＞ 触媒層・カーボン担体,高電位運転や起動・停止時の電位揺動により、触媒層内のカーボン担体が酸化反応（C + 2H2O → CO2 + 4H+ + 4e−）を受ける。特に高湿度・高電位状態下やガス欠時に、カーボンの分子骨格が選択的に攻撃され、カーボンネットワーク内に孔（ボイド）が発生し、内部構造が崩壊する。これは、カーボン材では酸素化・焼失過程、Ti担体では不可逆的な劣化は起こりにくい。,担体含有率の低下、細孔径の拡大、比表面積の減少,触媒活性面積の減少・ガス拡散性低下
材質(C/Ti),触媒担体腐食の抑制,カーボン担体と白金粒子の剥離・触媒層表面の荒れ（Pt粒子のシンタリングや担体からの遊離）,1. セル内部・微細構造層 ＞ 触媒層・カーボン担体,カーボン担体が腐食・消失することで、担持されていた白金粒子が路面化、もしくは担体から遊離し、粒子径が増大（シンタリング）。Ti担体であれば金属－白金界面は安定するが、カーボンでは担体が失われて界面が不安定になり、局所的な白金粒子同士の再配列・粗大化が不可逆に進行する。,白金粒径増大、担体-触媒界面積低下、Pt分布ムラ増大,電極反応活性低下・セル電圧低下
材質(C/Ti),積層荷重の保持,塑性変形（永久ひずみ発生）,3. セル構成部材 ＞ セパレータ・基材内部,繰返し起動停止や締結力の経時変化による応力集中が、C/Ti材質の降伏強度を超えて分子配列のずれ（転位運動）を発生させ、不可逆的な塑性変形が起こる。特にC材はクリープや疲労、Ti材は応力腐食割れも関連。,厚み低下・平坦度低下（変形量が増大）,積層体圧の保持不全
材質(C/Ti),積層荷重の保持,界面剥離（層間剥離）,3. セル構成部材 ＞ セパレータ・表面保護膜/処理層,Ti材やC材の熱膨張係数差や、セル内結露・ガス浸透による界面劣化で密着力が低下し、局所的な外力で層間に空隙が拡大。分子間引力や化学結合の切断による不可逆なリフトオフが発生。,界面強度（せん断強度・引張強度の低下）,伝荷性能・積層荷重の均一分布
材質(C/Ti),積層荷重の保持,マイクロクラック（微細亀裂進展）,3. セル構成部材 ＞ セパレータ・基材内部,高荷重＋サイクル応力下でC/Ti材料の結晶粒界に局所応力集中、粒界すべりや転位蓄積、金属では疲労、炭素材では熱衝撃やガス注入による体積変化で内部に微小亀裂が逐次発生・進展。,曲げ強度・破壊靭性（低下）,セル積層体の長期的な締結安定性
材質(C/Ti),耐振動・耐衝撃性,塑性変形・クラック発生,3. セパレータ ＞ 基材内部,セルの起動停止や外部振動・機械的衝撃による繰返し応力がTi材やC材内部に蓄積され、微細な欠陥や結晶粒界に応力集中が生じることで塑性変形やクラックが発生する。特にTiは塑性変形しやすく、C材は脆性的に割れやすい。,内部応力・ひずみ・残留変形量が増大、クラック長・密度が増加、ヤング率・降伏強度が低下,セル構成部材のシール保持力低下、機械的破断・ガスリーク耐性低下
材質(C/Ti),耐振動・耐衝撃性,界面剥離,3. セパレータ ＞ 表面保護膜/処理層,異材接合部（例：Ti基材上の導電膜、Cセパ上の表面処理層）で振動繰返しや短パルス衝撃により界面せん断応力が発生。相互に物性差（熱膨張係数や弾性率）もあるため、応力集中で剥離発生。,界面強度・付着力が低下、界面抵抗が増加、被膜厚みが不均一化,集電抵抗増大、耐食性劣化、セル間電気伝導性低下
材質(C/Ti),耐振動・耐衝撃性,微小粉体化および粒子脱落,3. セパレータ ＞ 基材内部,Cセパレータの場合、組成・多孔質構造の微細部で繰返し振動・変位により微小粒子レベルの脱落や粉体化が発生。部材の内部ひずみ緩和の一つとして現れる。,基材の表面粗度増加、厚み減少、粉体発生量増加,セル間の密着性/導電性低下、内部リーク路形成
材質(C/Ti),耐振動・耐衝撃性,シール材への食い込み・変形伝搬,3. セパレータ / ガスケット 界面 ＞ 接触点,セパレータ基材が脆性割れや塑性変形を起こすと、シール材との接触点に局所的荷重が集中しガスケットが変形・永久圧縮歪を生じやすい。Ti材の過度変形やC材のチッピングが起因。,ガスケット変形量・応力分布不均一化、面圧低下/偏在,ガスシール機能の喪失、外部環境へのガス漏洩
材質(C/Ti),膜の膨潤圧制御,塑性変形（永久ひずみ）,3. セル構成部材 ＞ セパレータ ＞ 基材内部,高温・高湿度運転下で、CやTi材の降伏強さを超える膨潤圧が電解質膜からセパレータへ断続的に伝達されると、局所的な応力集中により金属結晶格子またはC材粒界が破壊され、微小な塑性変形やうねりとして形状に残留する。,寸法精度（厚み・平坦度）が増大方向に外れる,セル間の密閉性（ガス分離性）、圧力分布均一性
材質(C/Ti),膜の膨潤圧制御,クラック（割れ）,3. セル構成部材 ＞ セパレータ ＞ 基材内部,繰返し膨潤収縮ストレスにより、C材なら粒界または異物混入部から、Tiなら表面酸化層の脆弱部から、クラックが発生・伝播し、微小割れが進行する。特に乾燥⇄加湿の繰返しや急激な温度変化で加速。,破断強度・内部抵抗の急増,長期運転時のセル構造安定性、電流収集機能
材質(C/Ti),膜の膨潤圧制御,表面酸化層の剥離,3. セル構成部材 ＞ セパレータ ＞ 表面保護膜/処理層,Ti材の酸化皮膜（TiO2）が電解質中の強酸・還元雰囲気下で、膜の膨潤圧＋電気化学環境の複合ストレスにより亀裂や剥離を生じやすい。C材の場合も酸化被膜の非均一変質域から剥離が進行。,表面導電率・接触抵抗の増大,電流収集効率、セル間接触信頼性
材質(C/Ti),膜の膨潤圧制御,界面密着性の低下（界面剥離）,2. 部材間界面 ＞ GDL / セパレータ 界面 ＞ 接触点,膨潤圧変動により、GDLとセパレータ界面の接触圧むらや微小浮き上がりが進行、所定設計以上のギャップが生じることで機械的・電気的密着性が低下。,接触抵抗の増大、局所ギャップ増大,発電効率の低下、局所発熱・劣化促進
工法(プレス等),部材間クリアランス維持,基材内部の塑性変形（永久たわみ・ヘコミ）,3. セパレータ ＞ 基材内部,プレス工程やセル組立時の圧縮応力により、セパレータ基材が降伏点を超えると金属の塑性流動が生じ、永久的な厚み減少や部分的なたわみが残る。繰り返し締結や熱サイクルによっても、累積的に永久変形が進行する。,面間ギャップ／板厚（減少）、表面平坦度（悪化）,部材間の適切なクリアランス維持（特にMEAやGDLへの応力均等化）
工法(プレス等),部材間クリアランス維持,リブ下領域の局所座屈・浮き上がり,2. 部材間界面 ＞ GDL / セパレータ 界面 ＞ リブ下領域,高圧プレスにより、GDLやセパレータ下部がリブ下で局所的な座屈あるいは浮き上がりを起こす。これは、セル積層の公差や面圧の偏りが原因で、GDLの構造体やセパレータ板厚が不均一の場合に発生しやすい。,局所ギャップ量（増加）、接触抵抗（増大）,電気的接続信頼性、反応ガス分布・供給通路の閉塞回避
工法(プレス等),部材間クリアランス維持,リップ部ゴム材の圧縮永久歪み,3. ガスケット・シール材 ＞ リップ部,プレスや長期間の締結による応力がゴムの内部高分子鎖の再配列を引き起こし、弾性回復力が低下することで圧縮変形が不可逆となる（圧縮永久歪み）。,シール厚さ（減少）、弾性率（低下）,ガス・水のシール保持性能
工法(プレス等),部材間クリアランス維持,セル間のアライメントずれ（並進・傾斜誤差）,4. スタック構造・アセンブリ ＞ セル積層体 ＞ セル間のアライメント,プレス工程やセル積層時のガイド精度不足により、スタック内でのセル位置ズレ（X・Y・θ方向）が発生する。これにより、局所的な厚みバラツキやセル間クリアランス不良が生じる。,セル間オフセット量（増大）、局所面圧分布のばらつき（増大）,均一なスタック圧縮・反応均一性の維持
工法(プレス等),量産性・製造効率,塑性変形（形状寸法のバラツキ、微細クラックの発生）,3. セパレータ ＞ 基材内部,プレス加工時の局所的な圧縮・引張応力集中によって、金属材料が塑性限界を超過し、結晶粒界に沿って微細な変形やクラックが発生する。特に複雑な流路形状形成時に、残留応力やひずみ硬化の局所化も生じやすい。,板厚・表面粗さ・変形度合いのバラツキが増大,シール性・ガス漏洩防止機能、流路形状再現性、セル積層時のアライメント精度
工法(プレス等),量産性・製造効率,表面欠陥（バリ、打痕、しわ、割れ）,3. セパレータ流路 ＞ ガス流路溝,プレス成形時に金型の微細摩耗や材料の流動性不良がある場合、流路溝部にストレス集中しバリや打痕、表面割れが生じる。高アスペクトな流路形状ほど顕著。,"表面粗さ（Ra, Rz）の悪化、流路形状寸法の公差超過",流体分配均一性、圧力損失の増加、着座不良によるガスリーク
工法(プレス等),量産性・製造効率,残留応力の蓄積（スプリングバック量のバラツキ）,3. セパレータ ＞ 基材内部,プレス加工により基材内部にバランスしない残留応力が生じるため、解放後にスプリングバックなど微妙なうねりや反りが発生する。量産条件ばらつき下で顕著。,板平面度・直進度の悪化、残留応力計のピーク値増大,セル積層時のギャップ発生、締結部品への負荷集中、スタック圧縮均一性低下
流路断面形状,フラッディング耐性,流路壁面に水膜形成（液相水の過剰蓄積）,3. セパレータ流路 ＞ 流路壁面,運転中の高湿度条件下で、流路の断面形状が狭小または凹凸が大きい場合に、ガス流速の局所低下や壁面への毛細管力が水の排出を妨げ、水膜が形成される。水膜の存在によりガスと液体の界面張力バランスが破綻し、静的に水がとどまる。,流路断面積の最小幅の減少、表面粗さの増大、流路断面の形状歪み量の増加,反応ガス供給機能の阻害（フラッディング発生）
流路断面形状,フラッディング耐性,デッドスペースへの液滞留,3. セパレータ流路 ＞ デッドスペース,流路断面が設計値より部分的に広がったり、不連続形状となることでガス流速が局所的に著しく低下し、停滞部（デッドスペース）が生じる。ここに生成水や凝縮水が滞留し、除去されにくい水だまりとなる。,流路内の局所容積の増大、流路カーブ部の曲率半径変動,生成水排出機能の低下、ガス分布の均一性低下
流路断面形状,フラッディング耐性,GDL下部（リブ下）からの毛細管排水阻害による細孔閉塞,2. 部材間界面 ＞ GDL / セパレータ 界面 ＞ リブ下領域,流路断面形状がリブ下の幅や圧接条件に影響を及ぼすと、GDL内に生じる毛細管圧バランスが変化。吸水・排水方向の圧力差が減少＝水分がGDL・流路界面に留まりやすくなり、界面で水蒸気から液相への凝結が加速、細孔構造が閉塞する。,リブ下幅寸法、GDL圧縮率、毛細管圧力変動幅の増大,ガス拡散・水分輸送機能の低下
流路断面形状,流路圧力損失の適正化,流路の塑性変形,3. セパレータ流路 ＞ ガス流路溝,スタックへの締結荷重、温度変動による熱膨張差、あるいは運転中の圧力差により、金属または樹脂製セパレータの流路溝部が繰返し機械応力を受けて塑性変形（潰れや伸び）を起こす。これにより設計された断面が保持できなくなり、狭窄部や広がり部が生じる。,流路幅・高さ（断面積）の局所的減少または増大。圧力損失値の変動増大。,ガス流量制御機能の低下、圧力損失制御不良によるガス分布不均一
流路断面形状,流路圧力損失の適正化,流路内の析出物付着による有効断面積の減少（細孔閉塞・堆積物形成）,3. セパレータ流路 ＞ ガス流路溝,運転中の高湿度・温度サイクルで、冷却水や生成水の凝縮、ガス中夾雑物（シリカ・金属イオンなど）の析出が流路壁面やコーナー部に付着し堆積。繰返し蓄積することで有効断面積が減少。,断面積・開口率の減少、流路粗度の増大,圧力損失増大、流体分布不均一、局所滞留域の拡大
流路断面形状,流路圧力損失の適正化,表面腐食による粗度変化および形状寸法の変化,3. セパレータ流路 ＞ 流路壁面,強酸雰囲気・高電位下でセパレータ表面の腐食進行。表面が粗化し、腐食生成物が微小な突起や欠損を生み、断面実効形状が乱れる。,表面粗度Raの増大、実効流路断面積の変動,圧力損失増大、流体摩擦増加によるエネルギーロス
流路断面形状,流路圧力損失の適正化,シール材膨潤・変形による流路狭窄,3. セパレータ流路 ＞ 流路壁面,水分やガス成分を吸収したガスケット・シール材が膨潤・化学劣化して流路へはみ出し、有効流路断面を押し狭める。,断面積有効率の低下、流路狭窄長さの増加,局所圧力損失増大によるガス供給不均一化
接触抵抗,界面接触抵抗の低減,接触点におけるマイクロクラックや塑性変形進行による接触面積の減少（実効接触面積変化）,2. 部材間界面 ＞ GDL / セパレータ 界面 ＞ 接触点,セルの締結圧・温度変動・起動停止による機械的応力集中や繰返し塑性で、接触点の局所応力が累積し、炭素/金属微細突起部に微小クラックや撓みが発生・進展する。これにより接触構造が不連続化し、実効的な導通経路が遮断される。,局所接触抵抗値（増大）、表面粗さ（増大/再形成）,電気伝導路の抵抗増加による発電効率低下
接触抵抗,界面接触抵抗の低減,接触表面への生成物（酸化膜・腐食生成物・析出塩類）の堆積による絶縁被膜形成,2. 部材間界面 ＞ GDL / セパレータ 界面 ＞ 接触点,高温多湿および起動停止サイクル下で、表面の微小な酸化や水分に起因する腐食反応、あるいはガス・水中イオン由来の析出によって接触面に絶縁性皮膜（酸化被膜・腐食生成物）が成長し、電子トンネル経路が断絶される。,界面接触抵抗値（増大）、酸化膜厚さ（増大）,電気伝導路の接触電圧増加／I-R損失増大
接触抵抗,界面接触抵抗の低減,接触圧分布の不均一化・局所圧力減少による接触部の浮き上がり（局部非接触領域発生）,2. 部材間界面 ＞ GDL / セパレータ 界面 ＞ 接触点,スタック締結や熱膨張差、セルの局所変形・歪みの蓄積により、接触圧（分布）が経時変化し、接触部の一部で圧力が低下して浮きや設置外れ（ミクロな隙間）が発生する。これにより通電パスとなる微小接点が消失する。,実効接触圧（減少）、非接触域面積（増大）,電気抵抗の上昇・局所的な電流密度の低下／ホットスポットリスク増大
接触抵抗,界面接触抵抗の低減,水分凝縮・気液遷移による接触点閉塞（毛細管空隙内の液体橋形成）,2. 部材間界面 ＞ GDL / セパレータ 界面 ＞ 接触点,高湿度環境または冷却運転時、接触面や微小空隙に水分が凝縮し、泡状・液体架橋（liquid bridge）として微細導通経路を絶縁・閉塞する。さらに時間とともに析出塩や腐食生成物を伴って絶縁性が増す。,接触点濡れ面積（増大）、局所絶縁抵抗値（増大）,伝導経路断絶・界面抵抗の急激な増大
締結面圧,界面接触抵抗の低減,締結部材のボルト締付部が、反復的な熱サイクルやマイグレーション応力によって塑性変形を起こし、面圧分布の偏りや低下により局部的な面圧ムラ（局所的な低面圧部位）が発生する状態,4. スタック構造・アセンブリ ＞ 締結部材・テンションボルト,スタックは高温・冷却サイクルやガス圧変動等の環境下で、ボルトなどの締結材に繰返し軸力変動（クリープ＋繰り返し荷重）が生じる。これにより塑性流動やクリープが発生し、初期面圧と設計面圧から逸脱し、締結部の軸力が減少する。,面圧（MPa）が設計値から低下（局所低減）,界面接触抵抗が増大し、発電性能や電流分布の均一性が損なわれる
締結面圧,界面接触抵抗の低減,GDL/セパレータ界面の接触点が長期運転・締付応力緩和により部分的に浮き上がり、接触面積の減少やAir gap部位（界面空隙）が形成される状態,2. 部材間界面 ＞ GDL / セパレータ 界面・接触点,面圧の不足や不均一分布が生じると、微視的な界面凹凸の追従性が失われ、部分的な非接触（Air gap領域）ができる。これにより電子通路が遮断もしくは細化され、界面抵抗が上昇する。,実効接触面積が減少／界面抵抗（μΩcm²）が増加,界面接触抵抗が規定値を超えて増大し、セル電圧降下・ホットスポットなど信頼性低下
締結面圧,界面接触抵抗の低減,セパレータ基材内部で繰返し高面圧や熱サイクルによりマイクロクラックが発生し、基材剛性・弾性保持力が劣化する状態,3. セル構成部材 ＞ セパレータ・基材内部,面圧を長期間維持するとセパレータに機械的疲労や塑性変形が蓄積し、応力集中部で微小クラックが生じ、材料の弾性（E）や剛性が低下することで面圧分布を維持できなくなる。,ヤング率／曲げ剛性の低下（材料物性値）,界面圧の維持不良による電気接触不良化、およびスタック耐久性劣化
締結面圧,積層荷重の保持,締付部材の塑性変形（締付ボルトの塑性流動、接触点の座屈・転がり摩耗）,4. スタック構造・アセンブリ ＞ テンションボルト,繰返し温度サイクルや経時クリープにより、締結ボルトやスタック端面周りの材料で応力が繰返し／持続して加わり、許容引張応力を超えることで塑性変形や座屈が生じる。これにより、面圧分布が不均一化し、ボトムアウトなど一部で荷重喪失を引き起こす。,締結トルク値・積層面圧値の低下、ばね定数の減少,積層荷重保持機能の劣化（リーク、セル抵抗増大）
締結面圧,積層荷重の保持,接触界面のクリープ圧縮（シール材・GDLなどの長期クリープ）,2. 部材間界面 ＞ GDL / セパレータ 界面 ／ セパレータ / ガスケット 界面,高温・荷重下で長期使用されることで、接触界面（GDLやガスケットなど樹脂・エラストマー系部材）がゆっくり圧縮流動し、面圧が経時的に低下する。繰返し締付やスタック荷重により、接触部の圧密沈下・空隙拡大が起こる。,界面面圧・密着率の低下,積層荷重保持・ガスシール機能の低下／セル間リーク
締結面圧,積層荷重の保持,リブ下・流路周辺の接触点局所的荷重逸失（アンダーコンプレッションによる隙間形成）,2. 部材間界面 ＞ GDL / セパレータ 界面 ＞ リブ下領域,流路設計や締結荷重が不均一な場合、GDLやセパレータリブ下部で局所的に荷重が逃げ、微細なギャップ形成や接触不良が発生する。ガス流動・熱サイクルによる微動摩耗も加わり、隙間が拡大化する。,リブ下の局所面圧・ギャップ厚さ増大,積層荷重保持不良→局所リーク・電流分布偏り
締結面圧,膜の膨潤圧制御,締結面圧の低下による界面の密着不良・ミクロギャップの発生,2. 部材間界面 ＞ 電解質膜 / 触媒層 界面,締結面圧が設計値を下回ることで、電解質膜と触媒層の界面にミクロレベルのギャップや浮き上がりが生じる。応力不足により界面密着性が損なわれ、場所によって膜膨潤時に隙間が拡大しやすくなる。このミクロギャップは膜膨潤圧を受け止めきれず、膜の自立維持が困難となる。,界面ギャップ幅（増大）、密着面積（減少）,膜の膨潤圧による構造安定性
締結面圧,膜の膨潤圧制御,締結面圧の過大による触媒層・膜の塑性変形、膜厚ムラの発生,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,締結面圧過大により発生応力が高分子膜や触媒層の降伏応力を超えると、局所で塑性変形または圧縮流動を生じる。これに伴い膜厚の局所的な薄膜化や触媒層との一体化不良、内部応力集中部位が発生する。,膜厚（局所的減少）、表面平坦度（低下）,膜膨潤時の均一圧制御
締結面圧,膜の膨潤圧制御,締結面圧バラつきによる膨潤モルフォロジーの不均一化,1. MEA ＞ 膜,締結面圧の分布ムラが存在すると、膜膨潤時に圧力の低い領域で過度な膨潤、圧力の高い領域では膨潤阻害が発生。これにより、膜厚・膨潤状態・水分分布の不均一化が進行し、局所的な構造不良（ボイド、収縮ひずみ）が誘発される。,膨潤率（局所異常増大・減少）、膜内水分分布（ムラ）,膜膨潤圧の均一制御・水分保持
締結面圧,膜の膨潤圧制御,締結圧管理不良による膜・触媒層間の剥離,2. 部材間界面 ＞ 電解質膜 / 触媒層 界面,締結圧の適正管理がされない場合、繰返しの起動停止や温度サイクルで、膨潤・収縮による機械応力累積が界面接着強度を超え、界面剥離が発生する。剥離部位は膨潤圧を効果的に支持できず、膜が膨張・破断しやすくなる。,界面接着強度（低下）、剥離長さ（増大）,膨潤圧支持・応力伝達
締結面圧,部材間クリアランス維持,締結ボルトの塑性変形または緩み（残留締結荷重の低下）,4. スタック構造・アセンブリ ＞ テンションボルト,高温や温度サイクル（起動・停止繰返し）下で締結ボルトの繰返し応力によるクリープやリラックス、振動負荷によるネジの微小緩みが生じ、初期の締結荷重が低下。これにより部材間に所定以上の隙間が発生。,残留締結荷重（締結面圧）が減少、ボルト伸び量変化,スタック全体の部材間クリアランス維持不良
締結面圧,部材間クリアランス維持,ガスケット部の圧縮永久歪み（厚み低下・弾性回復力低下）,3. セル構成部材 ＞ ガスケット・シール材 リップ部,締結による持続的な圧力と高温／ガス暴露環境で、ガスケット素材が圧縮永久歪みを起こし厚みと弾性力が低下。これによってシール部位の厚みが減少し、必要なクリアランスが維持できなくなる。,ガスケット厚み減少、弾性回復力低下,セル部材間の気密保持・クリアランス維持
締結面圧,部材間クリアランス維持,セパレータ/ガスケット界面の部分的な浮き・剥離,2. 部材間界面 ＞ セパレータ / ガスケット 界面,締結面圧の不均一分布や材料硬化(経年劣化)によって、界面接着力が局所的に低下し、セパレータとガスケットの間にミクロンオーダーの浮きや隙間が生じる。これにより部材クリアランスが設計値から外れてしまう。,局所界面間隙（ギャップ）が増加,部材間の平坦性・クリアランス維持機能
